"","Sub_Transect_Number","Survey_Date","Year","Latitude_DD","Longitude_DD","Transect_Location","Watermass_Strata","Depth_Strata","Depth_Continuous","Substrate_Type","Ledge","Boulder","Cobble","Gravel","Mud","Bottom_Salinity_HYCOM","Bottom_Temperature_HYCOM","Bottom_Velocity_HYCOM","Bottom_Direction_HYCOM","Shannon.Weiner_Diversity","Assemblage_Density_per_100sqm","Assemblage_Biomass_kg_per_100sqm","Economic_Value_per_100sqm","Demersal_Fish_Density_per_100sqm","Mobile_Benthic_Invertebrate_Density_per_100sqm","Sessile_Invertebrate_Density_per_100sqm","Radiated_Shanny","Red_Hake","White_Hake","Cunner","Alligatorfish","Atlantic_Cod","Witch_Flounder","Snakeblenny","Silver_Hake","American_Plaice","Longhorn_Sculpin","Shorthorn_Sculpin","Pollock","Acadian_Redfish","Green_Sea_Urchin","Northern_Seastar","Blood_Star","American_Lobster","Jonah_Crab","Atlantic_Rock_Crab","Common_Sand_Dollar","Northern_Shrimp","Giant_Sea_Scallop","Sea_Potato","Pacific_Orange_Crust","Northern_Cerianthid","Boring_Sponge","White_Crust_Tunicate","Breadcrumb_Sponge","Finger_Sponge","Hydroid_sp","Iophon_Sponge","Palmate_Sponge","Clonal_Plumose_Anemone","Red_Beard_Sponge","Northern_Horse_Mussel","Sabellid_Worm","Polymastia_Sponge","Porifera_sp","Fig_Sponge","Northern_Lampshell","Tunicate_sp","Northern_Red_Anemone","Region","Segment_Area_sqm"
"1",835,"7/10/2013 0:00",2013,43.84781,-69.333473,"Little Egg 3","WMCC",30,32,"gravel",0,0,0,1,0,32.3470001,7.326000214,0.0140357,274,0.625491,115.3268745,109.5664289,2753.702202,0,78.6319599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6319599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",19.0762128
"2",643.5,"9/2/2012 0:00",2012,44.234846,-68.212092,"100ft Soft MDI","EMCC",30,26,"cobble",0,0,1,0,0,32.3009987,12.96000004,0.007,360,1.358979,181.8535975,112.9051137,2501.117778,0,119.6405247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.785621,33.4993469,0,0,4.785621,0,66.9986938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MDI",20.89592976
"3",588.5,"8/30/2012 0:00",2012,44.629901,-67.249292,"Cape Washington","EMCC",30,22,"cobble",0,0,1,0,0,32.9770012,8.265999794,0.003,180,0.663179,79.0716494,90.1809639,2265.658551,0,68.2891518,7.1883318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5941659,0,0,64.6949859,0,0,0,0,0,7.1883318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cutler",27.82286718
"4",652,"9/2/2012 0:00",2012,44.234984,-68.211933,"100ft Soft MDI","EMCC",30,25,"gravel",0,0,0,1,0,32.3009987,12.96000004,0.007,360,0.687092,142.4589204,83.4210869,1969.448736,5.4791892,65.750271,0,0,0,0,0,0,0,0,0,0,0,5.4791892,0,0,0,0,0,0,10.9583785,0,0,0,0,54.7918925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MDI",18.25087536
"5",839,"7/10/2013 0:00",2013,43.860744,-69.329768,"Alan Island","WMCC",30,26,"gravel",0,0,0,1,0,32.3470001,7.326000214,0.0140357,274,0,51.3916024,71.6094875,1799.741082,0,51.3916024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3916024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",17.5125888
"6",850,"7/10/2013 0:00",2013,43.880318,-69.337838,"Sealledge","WMCC",30,24,"gravel",0,0,0,1,0,32.3470001,7.326000214,0.0140357,274,0,46.0274957,64.1350965,1611.88932,0,46.0274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0274957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",10.863072
"7",1064,"7/16/2013 0:00",2013,43.678976,-70.064634,"100 ft off Jewel Island","WMCC",30,27,"ledge",1,0,0,0,0,32.3059998,7.084000111,0.0090554,354,0,44.5209778,62.0359019,1559.130851,0,44.5209778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5209778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casco Bay",22.4613216
"8",849,"7/10/2013 0:00",2013,43.870078,-69.331732,"Alan Island","WMCC",30,26,"gravel",0,0,0,1,0,32.3470001,7.326000214,0.0140357,274,1.213008,84.242904,64.9075148,1523.827625,0,84.242904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.060726,10.530363,10.530363,0,0,0,42.121452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",9.4963488
"9",643,"9/2/2012 0:00",2012,44.234713,-68.212289,"100ft Soft MDI","EMCC",30,26,"cobble",0,0,1,0,0,32.3009987,12.96000004,0.007,360,0.535961,61.7247442,61.4072568,1503.957967,0,50.1513546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8577965,3.8577965,0,0,0,42.4357616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MDI",25.92153312
"10",997,"7/10/2013 0:00",2013,43.880391,-69.337918,"Sealledge","WMCC",30,24,"mud",0,0,0,0,1,32.3470001,7.326000214,0.0140357,274,0.410116,43.9353368,56.1278627,1347.816608,0,43.9353368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2764767,0,0,0,0,37.6588601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midcoast",15.9325056
